numero_dpe;date_etablissement_dpe;etiquette_dpe;etiquette_ges;type_batiment;annee_construction;type_installation_chauffage;hauteur_sous_plafond;surface_habitable_logement;code_postal_ban;code_departement_ban;coordonnee_cartographique_x_ban;coordonnee_cartographique_y_ban;nom_commune_ban;besoin_chauffage
2430E0292877U;26/01/2024;D;B;appartement;;individuel;2.5;36;30800;30;815741.91;6288888.74;Saint-Gilles;3939.7
2330E3960308U;21/11/2023;F;C;appartement;1945;individuel;3.7;116.9;30000;30;809704.53;6306385.57;N̨mes;24753.7
2530E2326168I;15/07/2025;C;A;appartement;1780;individuel;2.8;33.1;30900;30;808851.8;6304681.47;N̨mes;4730.5
2530E2001334S;18/06/2025;C;B;maison;1970;;2.5;122.7;30126;30;835491.33;6329912.22;Saint-Laurent-des-Arbres;9954.4
2630E0068212X;11/01/2026;D;C;maison;1930;;2.9;107.6;30640;30;806696.84;6292073.18;Beauvoisin;17244.9
2630E0013962J;05/01/2026;E;C;appartement;;individuel;2.5;64.9;30250;30;787766.18;6299151.82;Sommi̬res;7979.1
2230E1690599G;25/07/2022;E;B;appartement;;individuel;2.5;26.9;30100;30;785575.47;6336818.57;Al̬s;3161.9
2530E0376831V;04/02/2025;C;C;appartement;2017;collectif;2.5;46.8;30000;30;810048.11;6304502.36;N̨mes;1463.6
2530E3342721N;22/10/2025;C;A;appartement;2005;individuel;2.5;39.2;30420;30;796832.36;6296450.5;Calvisson;1518.6
2530E3694309D;24/11/2025;C;B;maison;;;2.5;194.1;30100;30;786068.81;6333798.04;Al̬s;17635.5
2530E2559433B;06/08/2025;A;A;appartement;2016;individuel;2.5;61.3;30000;30;809960.75;6305723.5;N̨mes;219.9
2530E1454824C;29/04/2025;D;B;maison;;;3;143.7;30000;30;809016.05;6305925.49;N̨mes;18127.3
2630E0016701S;05/01/2026;E;C;appartement;1960;individuel;2.5;48;30000;30;812018.6;6306174.58;N̨mes;8261.1
2630E0012960V;05/01/2026;E;B;immeuble;;individuel;2.6;;30000;30;809511.53;6305734.74;N̨mes;19259.7
2430E4197526P;27/11/2024;C;A;appartement;2001;individuel;2.5;39;30400;30;843530.28;6318797.86;Villeneuve-l̬s-Avignon;1622.8
2630E0012025W;05/01/2026;C;A;appartement;;individuel;2.5;60;30150;30;842314.59;6329557.93;Roquemaure;4709
2530E0092612I;11/01/2025;C;C;appartement;1966;individuel;2.5;85.6;30900;30;807352.48;6305090.5;N̨mes;6710.2
2230E1362723Q;19/06/2022;E;B;appartement;1977;individuel;2.5;27.8;30000;30;807941.46;6305576.49;N̨mes;2790
2430E4404535M;12/12/2024;C;A;appartement;;individuel;2.4;63.6;30300;30;829606.22;6289255.04;Fourques;2278.8
2630E0015361E;05/01/2026;B;A;maison;2008;;2.5;93.6;30430;30;802904.72;6351701.94;Saint-Jean-de-Maru̩jols-et-Av̩jan;3656
2630E0029141E;06/01/2026;B;A;appartement;;individuel;2.5;73.2;30330;30;829268.24;6333320.4;Saint-Paul-les-Fonts;2523.7
2230E3066362F;16/12/2022;C;C;appartement;1997;individuel;2.5;63.7;30900;30;805748.77;6305732.53;N̨mes;2751.6
2630E0060669U;09/01/2026;E;B;appartement;;individuel;3;39.7;30000;30;810223.68;6305428.54;N̨mes;4529.2
2630E0016572T;05/01/2026;D;B;appartement;;individuel;2.5;91.4;30250;30;790476.75;6301898.68;Souvignargues;11072.4
2430E3394120J;28/09/2024;C;C;appartement;2011;individuel;2.6;59.5;30000;30;811542.5;6305835.89;N̨mes;1963.7
2630E0033945Y;07/01/2026;E;C;appartement;;individuel;3.1;40.1;30340;30;792476.36;6334211.66;M̩jannes-l̬s-Al̬s;5491
2530E3846397R;08/12/2025;D;B;maison;1949;;2.7;115.5;30310;30;798330.18;6294781.35;Verg̬ze;11337.7
2630E0052430X;08/01/2026;D;C;maison;;;2.7;100.3;30100;30;786608.82;6335470.6;Al̬s;11682.8
2230E2500988B;24/10/2022;C;A;maison;2005;;2.5;79.9;30700;30;812919.77;6324265.92;Uz̬s;4312.2
2530E1602881P;15/05/2025;A;A;maison;2013;;2.8;211.8;30360;30;791962.08;6330255.55;Deaux;10982
2530E2072078Q;24/06/2025;C;B;appartement;;individuel;2.5;89.8;30300;30;832416.58;6302349.82;Beaucaire;5485
2530E1792014Y;31/05/2025;D;B;appartement;1978;individuel;2.5;31;30900;30;808995.34;6304868.31;N̨mes;1871.3
2430E0666589I;23/02/2024;F;C;appartement;;individuel;2.8;20.5;30500;30;795648.64;6352085.22;Saint-Ambroix;3548.5
2230E1288114B;10/06/2022;C;A;appartement;;individuel;3.8;34;30000;30;809407.15;6305527.56;N̨mes;1170.8
2230E0085897Y;17/01/2022;D;D;appartement;1947;individuel;2.9;90.6;30000;30;809648.73;6305256.76;N̨mes;12226.2
2630E0029021O;06/01/2026;C;B;appartement;;individuel;2.6;29.5;30330;30;817651.56;6335723.78;Saint-Laurent-la-Vern̬de;3117.1
2530E2506638M;30/07/2025;B;A;appartement;2010;individuel;2.5;37.7;30000;30;810785.84;6304616.22;N̨mes;413.1
2630E0079767I;12/01/2026;A;A;maison;;;2.5;86.9;30100;30;789292.82;6336270.54;Al̬s;4409.7
2230E1727284F;28/07/2022;C;A;appartement;1975;individuel;2.6;16.9;30900;30;809349.61;6303921.6;N̨mes;664.7
2630E0018577W;05/01/2026;C;A;appartement;;mixte (collectif-individuel);2.5;80;30000;30;811522.95;6305689.06;N̨mes;3119.8
2430E2599072P;18/07/2024;D;D;appartement;1960;individuel;2.4;25;30900;30;808538.88;6305106.89;N̨mes;2147.1
2630E0035951C;07/01/2026;C;C;appartement;2004;individuel;2.5;43.5;30000;30;811214.33;6304125.02;N̨mes;1735.3
2430E1356390D;14/04/2024;D;B;appartement;1921;individuel;2.5;20.8;30000;30;810159.89;6304913.85;N̨mes;2066.9
2530E0345376A;31/01/2025;B;A;appartement;;individuel;2.4;61.9;30200;30;825873.53;6344068.68;Saint-Gervais;2260.7
2530E2255702C;08/07/2025;E;B;maison;1985;;2.5;76.5;30900;30;806019.01;6305344.39;N̨mes;9549.9
2330E2169066W;28/06/2023;D;B;appartement;;individuel;2.9;64.9;30700;30;813815.79;6324648.36;Uz̬s;5890.1
2630E0044265W;08/01/2026;A;A;maison;;;2.5;116.1;30340;30;787057.13;6342384.61;Saint-Julien-les-Rosiers;5826.4
2530E3721077R;26/11/2025;D;D;maison;;;2.5;86.3;30700;30;813624.53;6324414.66;Uz̬s;12097.6
2630E0021464X;06/01/2026;D;B;appartement;;individuel;2.6;64.6;30250;30;787813.01;6298892.08;Sommi̬res;11160
2330E3925883T;18/11/2023;D;B;appartement;;individuel;2.5;52.1;30160;30;787123.71;6355646.47;Bess̬ges;3801.6
2630E0008842L;05/01/2026;D;B;appartement;1800;individuel;2.7;17.6;30700;30;813894.77;6324658.33;Uz̬s;1128.2
2330E1238814Y;13/04/2023;D;B;maison;1950;;2.5;124.9;30133;30;842409.17;6319294.05;Les Angles;18224.5
2330E1981647L;14/06/2023;D;B;maison;;;2.5;148.4;30700;30;803394.02;6333022.34;Aigaliers;14864.1
2530E3669569P;21/11/2025;C;B;appartement;;individuel;2.5;47.1;30230;30;814898.08;6301044.13;Bouillargues;2232.4
2530E2580797T;08/08/2025;C;A;maison;2010;;2.5;99.6;30640;30;806273.18;6291351.97;Beauvoisin;4771.3
2330E0923797X;21/03/2023;E;E;maison;1900;;2.3;70.3;30700;30;819824.125;6325677.5;Flaux;14599.2
2530E0127716M;05/01/2025;C;C;appartement;2017;mixte (collectif-individuel);2.5;39.6;30000;30;810012.73;6304491.86;N̨mes;1185.3
2630E0013173A;05/01/2026;E;C;appartement;1960;individuel;2.5;63;30160;30;786898.31;6355534.25;Bess̬ges;10506.3
2330E0930540G;21/03/2023;D;B;appartement;1949;individuel;3.5;42.6;30900;30;808942.16;6304994.87;N̨mes;4506
2530E1386583L;23/04/2025;B;A;maison;1998;;2.6;160.1;30430;30;803711.63;6351388.38;Saint-Jean-de-Maru̩jols-et-Av̩jan;14484.3
2330E0942219L;22/03/2023;D;B;appartement;;individuel;2.5;34.3;30900;30;808901.36;6305019.18;N̨mes;2815
2530E3375378O;26/10/2025;C;B;appartement;;individuel;2.1;45.1;30130;30;831511.49;6352293.18;Pont-Saint-Esprit;3500.2
2230E3069817C;16/12/2022;D;B;appartement;;individuel;2.5;57.6;30160;30;786998.6;6355697.3;Bess̬ges;6602.3
2330E2314356Y;09/07/2023;D;B;appartement;;individuel;2.5;86.8;30620;30;803744.01;6297139.45;Bernis;11611.5
2430E2403546J;03/07/2024;C;A;appartement;1930;individuel;2.9;37.6;30000;30;809504.7;6305869.88;N̨mes;1707.6
2530E0774258M;06/03/2025;C;C;appartement;1978;individuel;2.4;45.1;30900;30;808778;6303466.11;N̨mes;2217
2630E0063519K;09/01/2026;D;D;maison;;;2.5;164.5;30400;30;843876.23;6320103.42;Villeneuve-l̬s-Avignon;13543.3
2530E3506908K;06/11/2025;C;A;maison;;;2.8;134.3;30290;30;831859.42;6330558.61;Saint-Victor-la-Coste;17865.3
2430E3920403A;06/11/2024;D;B;appartement;;individuel;2.5;120.3;30290;30;834157.54;6335084.56;Laudun-l'Ardoise;12324.9
2530E3126449J;02/10/2025;D;B;maison;1970;;2.5;123.9;30700;30;817916.48;6330132.51;Vallabrix;19596
2530E0814795P;11/03/2025;B;A;maison;1948;;2.5;223.3;30700;30;814222.7;6318340.87;Sanilhac-Sagri̬s;14485.8
2530E3708967X;25/11/2025;C;C;appartement;2018;collectif;2.5;39.1;30000;30;810029.44;6304530.49;N̨mes;329.2
2230E1223405G;03/06/2022;D;B;appartement;1949;individuel;2.6;38.4;30900;30;808851.8;6304681.47;N̨mes;4959.8
2330E1123567J;04/04/2023;D;B;appartement;1930;individuel;2.5;73.2;30320;30;816045.32;6307785.97;Marguerittes;4460.5
2630E0032532P;07/01/2026;B;A;maison;2013;;2.6;101.2;30580;30;799459.59;6338268.05;Brouzet-l̬s-Al̬s;4691.4
2630E0066363U;10/01/2026;A;A;maison;2023;;2.5;107.2;30200;30;831578.92;6340639.9;Bagnols-sur-C̬ze;3261.4
2430E4293825K;03/12/2024;D;B;appartement;1948;individuel;2.7;44.8;30250;30;787745.49;6298883.7;Sommi̬res;4028.8
2630E0026074F;06/01/2026;C;B;maison;;;2.5;54.9;30190;30;801439.27;6314836.01;La Calmette;4663
2430E3573907G;11/10/2024;D;B;appartement;1948;individuel;3;66;30410;30;792707.95;6351894.62;Moli̬res-sur-C̬ze;6606.7
2630E0057853M;09/01/2026;E;B;appartement;;individuel;2.5;34;30900;30;809031.17;6304585.07;N̨mes;7535.3
2530E3912389V;14/12/2025;A;A;appartement;2021;individuel;2.5;44;30000;30;811443.56;6306152.01;N̨mes;828.8
2530E2950212A;17/09/2025;C;A;maison;1921;;2.5;91.4;30127;30;821080.83;6296012.58;Bellegarde;4904.4
